attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
12801,0.1258782192,0.4271556154,0.2312840879,-0.0208676608,0.0870344439,0.0300811285,746.67057369,0.7818089402,0.0805933973
12901,0.1395256942,0.4051465842,0.2283064997,-0.0239157037,0.094921399,0.0324964092,679.02547108,0.7657197555,0.0870644202
13001,0.1255337391,0.4017468085,0.2246274181,-0.0223743586,0.0970151155,0.0320209904,596.59490859,0.7517061506,0.0857906776
13101,0.1313129222,0.4045616546,0.2307566632,-0.0233532738,0.0888422968,0.0306483411,707.09999508,0.7813336926,0.0821130738
13201,0.1410293437,0.425567728,0.2257554347,-0.0204700541,0.0854261186,0.0264445586,805.46071096,0.7791091066,0.0708502945
13301,0.1434757049,0.423087455,0.2257542737,-0.0234500742,0.0982023422,0.0315856518,683.36461177,0.7483490167,0.0846243178
13401,0.1259126237,0.4013116106,0.2280652658,-0.0227370346,0.086897343,0.0286146559,689.70297858,0.7800120758,0.0766644221
13501,0.1393425567,0.4005800528,0.2282207574,-0.0226686846,0.0922279031,0.0278751977,668.35608008,0.7650802471,0.0746832646
13601,0.1386562542,0.4216392864,0.2230550833,-0.0244302397,0.0964107713,0.0300068768,674.95911557,0.7461512373,0.080394462
13701,0.1307187961,0.4111595357,0.2291725493,-0.0207352871,0.0962530404,0.0288445692,615.06835548,0.7512566856,0.077280406
13801,0.1359943317,0.4112170628,0.2302979511,-0.0220442758,0.0885086887,0.029789728,736.46518651,0.7809176988,0.0798126765
13901,0.1325962312,0.3995458723,0.2254996773,-0.0212483561,0.0884826145,0.0327632768,728.38758466,0.7872003421,0.0877794122
14001,0.1335529747,0.3946207159,0.2253045145,-0.0191351194,0.0952811781,0.0295289528,612.48849818,0.7591457911,0.0791140073
14101,0.131203484,0.4026372303,0.2261202659,-0.0219802244,0.0965799397,0.0269756785,591.41564152,0.744265313,0.0722732716
14201,0.1399651845,0.4195032797,0.2231456901,-0.0226709905,0.0872668861,0.0268667389,768.2582927,0.7712820271,0.0719814006
14301,0.1306033289,0.4149591628,0.2285275968,-0.0236952706,0.0930089242,0.0275273855,650.53608067,0.7548714356,0.0737514058
14401,0.1301808199,0.417546474,0.2297755237,-0.0207050981,0.0857326449,0.0309533856,775.54396333,0.7909446007,0.0829303495
14501,0.1352983105,0.4125004464,0.2262100109,-0.0220369015,0.0931108557,0.0315158777,691.56879047,0.7661534263,0.0844373789
14601,0.1281776304,0.4275934204,0.2229686353,-0.0181086888,0.0908712519,0.034968914,749.83453325,0.7782272006,0.0936887582
14701,0.1250213432,0.4002900251,0.2268874946,-0.0226702271,0.0903591651,0.0306631663,656.84676785,0.772604629,0.0821527935
