attempt,futureRevenueCagr,normalizedOperatingMargin,capexAsPercentRevenue,workingCapitalAsPercentRevenue,wacc,terminalGrowth,estimatedValuePerShare,terminalValueShare,terminalReinvestmentRate
13001,0.1462395985,0.6119995138,0.0278572845,0.0782491219,0.1213713904,0.0297505216,95.7745207,0.6276027392,0.0743763039
13101,0.1764392114,0.6157787632,0.0229109203,0.0773557214,0.1118096472,0.0305490953,128.91968253,0.6690874514,0.0763727384
13201,0.1588152753,0.5958765985,0.0232673851,0.075163334,0.1177397623,0.0304689283,105.12746195,0.6432825575,0.0761723208
13301,0.1580516203,0.5972757807,0.0275610242,0.0756260478,0.1162973303,0.030992612,106.84244844,0.6511557145,0.07748153
13401,0.1703547039,0.6122022833,0.0237543727,0.0747105564,0.1170620171,0.0317167352,116.85392494,0.6516627341,0.079291838
13501,0.1805330455,0.6029682652,0.0275438829,0.0744800943,0.1136717128,0.0265585495,122.32514647,0.6573309991,0.0663963738
13601,0.1721366597,0.5934801499,0.0270804893,0.078151626,0.1143764146,0.0293538458,115.81463545,0.6604835347,0.0733846145
13701,0.1432150575,0.6022916582,0.023366179,0.0770629835,0.1094440632,0.0266309304,105.90853271,0.6559578722,0.0665773259
13801,0.1420135741,0.610141286,0.0240483479,0.0745106058,0.1178634074,0.0277723593,96.81209454,0.6290229348,0.0694308982
13901,0.1558275161,0.6047572809,0.032022571,0.0756335591,0.1066695709,0.0335492341,123.88817052,0.6905053694,0.0838730851
14001,0.163102805,0.6214196411,0.0304851265,0.0751243136,0.1081284093,0.0279925043,124.67296198,0.6723944594,0.0699812607
14101,0.1659446307,0.6071143027,0.0237975066,0.0768888132,0.1166885023,0.0328745274,114.37471685,0.6552685486,0.0821863184
14201,0.1345008254,0.6063634661,0.0228284463,0.0779682677,0.1179921948,0.0297873252,93.16646566,0.6312863935,0.0744683131
14301,0.1697866497,0.589161126,0.0261599702,0.0746027432,0.1184693659,0.0299357762,108.53521961,0.6458292583,0.0748394406
14401,0.1664986275,0.6096627437,0.0215652936,0.0754192345,0.1163355418,0.0288639767,113.1353702,0.64555511,0.0721599417
14501,0.1873470812,0.5963829908,0.0333344655,0.0771690419,0.1139875399,0.0320019433,128.60535873,0.6758164881,0.0800048582
14601,0.1431304628,0.59906518,0.025719047,0.0728502935,0.1151702102,0.0311892485,100.86516436,0.646813589,0.0779731212
14701,0.1399994761,0.5824870414,0.0230016294,0.0747863617,0.110052392,0.0313628768,103.20010954,0.6640862131,0.078407192
14801,0.1438443566,0.5963813469,0.026644935,0.0734350827,0.1075243021,0.0335509988,113.5629301,0.6799647698,0.083877497
14901,0.1667715532,0.5796262621,0.0240354083,0.0737574884,0.1103601885,0.0317848187,118.46186645,0.6746353695,0.0794620467
15001,0.169427615,0.5990876372,0.028785935,0.0746561961,0.1127055965,0.0295743791,118.16636555,0.6640181577,0.0739359477
